what expression would i use to say i love you if i were an italian,translate 
i like this song who is it by,what_song
what is the title of this track,what_song
tell me the artist currently playing,what_song
what's the artist's name of this song,what_song
what is the track title of the song playing,what_song
name the singer of this track,what_song
who sang this song,what_song
who plays this song,what_song
what's the now playing song that we are listening to,what_song
what's the current song that we are listening at this time,what_song
what's the name of the song that we are listening to,what_song
what's the song that we are listening at this moment,what_song
what's the song they are playing for us right now,what_song
what's the name of this song i'm listening to,what_song
what am i listening to,what_song
what is the current song,what_song
can you tell me what song i'm hearing,what_song
what am i hearing on the speakers now,what_song
what's this song playing,what_song
whats the name of the playing song,what_song
tell me this songs name,what_song
i need to know this song's name,what_song
i want to know the name of the song that's playing,what_song
can you tell me the mane of the song playing,what_song
i'd like to know this song's name,what_song
can you get me the name of this song,what_song
find out what this song is,what_song
i would like to know this song's title,what_song
i need to know what this song is called,what_song
tell me the title of this song,what_song
tell me this song's name,what_song
what is the song that's playing,what_song
tell me the song that's playing right now,what_song
do you know the name of this song,what_song
do you know what song this is,what_song
what is the name of this song,what_song
can you tell me the song we are listening to,what_song
which song are we listening to,what_song
what is the song that is currently playing,what_song
can you tell me what this song is,what_song
whats the name of this song,what_song
what is the title of this tune,what_song
what tune is this,what_song
what is that noise,what_song
what is playing,what_song
whats the title of this,what_song
whats the title of this song,what_song
the song on speaker is what like,what_song
the song on speaker is what,what_song
what is the song on speaker,what_song
how many centimeters are in an inch,measurement_conversion
whats 5 feet in inches,measurement_conversion
what's 32 degrees fahrenheit in celsisus,measurement_conversion
what amount of millimeters are in 50 kilometers,measurement_conversion
how many crows are in 10 murders,measurement_conversion
what amount of miles are in a hundred kilometers,measurement_conversion
how many weeks are in 3 months,measurement_conversion
how many meters are in 50 feet,measurement_conversion
what's 8 ounces in cups,measurement_conversion
how many kilos are in 150 pounds,measurement_conversion
how do you convert pounds to grams,measurement_conversion
how many kilos are in 10 pounds,measurement_conversion
"what is 15 ounces in grams, please",measurement_conversion
"what is 20 ounces in grams, please",measurement_conversion
"what is 10 ounces in grams, please",measurement_conversion
how do you convert ounces to pounds,measurement_conversion
how many kilos are in 25 pounds,measurement_conversion
what is 10 ounces in grams,measurement_conversion
how many kilos are in 20 pounds,measurement_conversion
how do you convert ounces to grams,measurement_conversion
how many kilos are in 100 pounds,measurement_conversion
how do you convert pounds to kilos,measurement_conversion
what is 15 ounces in grams,measurement_conversion
how do you convert ounces to kilos,measurement_conversion
how many inches and centimeters would i need if i had 10 feet of something,measurement_conversion
what's 10 inches in centimeters and millimeters,measurement_conversion
how many tablespoons and teaspoons is one cup,measurement_conversion
how much is 10kg in pounds and ounces,measurement_conversion
how many liters are in 500 gallons,measurement_conversion
what's 12 feet in meters,measurement_conversion
what is 22 meters in inches,measurement_conversion
12 feet is equal to how many inches,measurement_conversion
how many pints are in 22 gallons,measurement_conversion
how do you convert pounds to kilograms,measurement_conversion
how do you convert milliliters to ounces,measurement_conversion
how do you convert millimeters to decimeters,measurement_conversion
how do you convert inches to centimeters,measurement_conversion
how do you convert miles to kilometers,measurement_conversion
what would four inches be in centimeters,measurement_conversion
"if i have four inches, how many centimeters is that",measurement_conversion
how many centimeters are in 4 inches,measurement_conversion
how do i convert four inches into centimeters,measurement_conversion
what are four inches in centimeters,measurement_conversion
tell me the conversion between tablespoons and cups,measurement_conversion
i need to know the conversion between tablespoons and teaspoons,measurement_conversion
what would be the conversion between tablespoons and teaspoons,measurement_conversion
what is the conversion between tablespoons and cups,measurement_conversion
help me to understand the conversion between tablespoons and teaspoons,measurement_conversion
tell me how to convert grams into ounces,measurement_conversion
i need to know how to convert liters into pints,measurement_conversion
help me convert feet into miles,measurement_conversion
how do i change pounds into kilograms,measurement_conversion
what is the proper way to convert centimeters into inches,measurement_conversion
how do i convert tablespoons to cups,measurement_conversion
how many ounces are in a cup,measurement_conversion
how many teaspoons are in a half a cup,measurement_conversion
how many tablespoons are in three cups,measurement_conversion
how many pints are in four cups,measurement_conversion
how many quarts are in a gallon,measurement_conversion
i wanna know how many teaspoons are in a tablespoon,measurement_conversion
how many cups make a gallon,measurement_conversion
how many tablespoons are in a cup,measurement_conversion
what is the conversion for pints to quarts,measurement_conversion
tell me what ten pounds in kilos is,measurement_conversion
what would five pounds be in kilos,measurement_conversion
i need to know how many cups are in a two gallons,measurement_conversion
tell me how many teaspoons are in two cups,measurement_conversion
how many miles is five kilometers,measurement_conversion
please convert 2 inches into meters for me,measurement_conversion
how many meters are in 2 inches,measurement_conversion
what's the conversion from inches to centimeters,measurement_conversion
can you convert 2 inches into meters,measurement_conversion
how many centimeters are one inch,measurement_conversion
how do i convert inches and centimeters,measurement_conversion
what is 2 inches in meters,measurement_conversion
convert 2 inches to meters,measurement_conversion
convert inches to centimeters,measurement_conversion
how many cups in a quart,measurement_conversion
is there an easy way to change feet into inches,measurement_conversion
how many cups are in 4 quarts,measurement_conversion
how many feet are in 50 yards,measurement_conversion
how many ounces in a gallon,measurement_conversion
can you convert millimeters to centimeters,measurement_conversion
how many teaspoons in a cup,measurement_conversion
convert inch to cm,measurement_conversion
how many inches are in 5 feet,measurement_conversion
convert cm to inch,measurement_conversion
how can i change centimeters into inches,measurement_conversion
how can i change inches into meters,measurement_conversion
how many centimeters are in 5 yards,measurement_conversion
how do you convert feet to inches,measurement_conversion
how many meters are in 10 millimeters,measurement_conversion
how can you convert miles to kilometers,measurement_conversion
how would i go about converting inches to yards,measurement_conversion
how would you convert yards to inches,measurement_conversion
how are yards converted to inches,measurement_conversion
how do i change inches to centimeters,measurement_conversion
what is inches in centimeters,measurement_conversion
i need to know the difference between inches and centimeters,measurement_conversion
what is the conversion of inches to centimeters,measurement_conversion
check maps for my location,current_location
"i'm lost, can you tell me where i am",current_location
how can i go about finding my location right now,current_location
please tell me my location using gps,current_location
where exactly am i,current_location
what's my location,current_location
is there a way to get my current location,current_location
what's the precise coordinates of this place,current_location
where am i right this moment,current_location
use the map and pinpoint my position,current_location
give me my location on the map,current_location
what's my current location,current_location
what street is this,current_location
can you direct me where to find where i am,current_location
what do i do to find my location,current_location
using this map i'd like to see my exact whereabouts,current_location
place a marker for me where i am on the map,current_location
i need to know my current gps coordinates,current_location
can i have my current gps coordinates,current_location
would you please tell me my current gps coordinates,current_location
please tell me my current gps coordinates,current_location
list my current gps coordinates,current_location
how do i know where i'm at,current_location
where am i located currently,current_location
tell me how to find my current location,current_location
showme how to find my location,current_location
i'd like to know where i am,current_location
what are the gps coordinates where i am located,current_location
at this location what are my gps coordinates,current_location
in the place i am what are my gps coordinates,current_location
what are my gps coordinates at this location,current_location
what are the gps coordinates of this spot i am at right now,current_location
where am i located,current_location
what country and city am i in,current_location
what are my longitude and latitude points,current_location
show me where i am on the map,current_location
display my location on a map,current_location
please show me where i am on a map,current_location
can you show me where i am on a map,current_location
"where am i right now, location wise",current_location
what street am i on right now,current_location
tell me my current location please,current_location
what location do you see me at right now,current_location
what is my current location that you see right now,current_location
show me where i am,current_location
bring up my location,current_location
tell me where i am on a map,current_location
can you locate me on a map,current_location
show me where i am on a map,current_location
i need to know my location,current_location
i'm lost,current_location
can you tell me how to figure out my current location,current_location
i need to find out how i know my location right now,current_location
can you tell me my location,current_location
what do i do to find my current location,current_location
my current location,current_location
i would like to know my current location,current_location
how can i tell what my current location is,current_location
how can i know my current location,current_location
let me know where i'm located,current_location
i am in need of my location,current_location
help me find where i am,current_location
i do not know where i am,current_location
i would like to know my location,current_location
where are we located,current_location
tell me the current location,current_location
please tell me my current location,current_location
what are my gps coordinates right now,current_location
please tell me my present gps coordinates,current_location
i need to know my present gps coordinates,current_location
tell me my current gps coordinates,current_location
please give me my gps coordinates,current_location
"how do i find my location right now, please",current_location
"how do i find my location, please",current_location
"could you find my location on the map, please",current_location
how do i find my present location right now,current_location
could you find my location on the map,current_location
how do i find my location right now,current_location
"would you find my location on the map, please",current_location
"can you find my location on the map, please",current_location
can you find my location on the map,current_location
"how do i find my present location right now, please",current_location
give me my current location,current_location
let me know my current location,current_location
what is my location right now,current_location
can you tell me the address where i am right now,current_location
please locate me on the map and show me,current_location
tell me my current location,current_location
how can i go about finding my current location,current_location
i wanna know my current location,current_location
how can i find my current location,current_location
how will i find my current location,current_location
i'd like to know my current location,current_location
how can i locate where i am,current_location
how shall i find my current location,current_location
check out my location up on the map,current_location
could you pull up my location on the map,current_location
check me out on the map,current_location
look me up on the map,current_location
look my location up on the map,current_location
what are the conditions like in orlando,weather
what's the temperature like in tampa,weather
what's the forecast like for pittsburgh,weather
what are the conditions like in sarasota,weather
what's the climate like in chicago,weather
what will the temperature be tomorrow,weather
will it rain today,weather
will it freeze tonight,weather
give me the 7 day forecast,weather
is it hot outside,weather
what is the weather going to be like today,weather
is it going to rain today,weather
what is the weather going to be like tomorrow,weather
is it going to rain tonight,weather
are there any tornadoes coming soon,weather
is it snowing in the next two weeks,weather
what is the weather like in denver,weather
what is the weather like tomorrow,weather
what is the record high temperature for today,weather
whats the predicted weather suppose to be like,weather
whats the forecast for the weather,weather
what does the weather look like,weather
what does the forecast look like,weather
what is the weather going to be like,weather
tell me this week's forecast,weather
will it get over 90 degrees today,weather
what's the temperature outside,weather
tell me how the weather is,weather
weather,weather
what's the weather,weather
is it raining,weather
how is it outside,weather
how hot will it be tomorrow,weather
what is the weather for tomorrow in georgia,weather
what is the forecast for this week,weather
will it snow this weekend,weather
is there any rain in the next 3 days,weather
can you tell me what the weather will be please,weather
how's the weather,weather
what's the weather looking like,weather
what weather should i expect,weather
costa mesa current weather,weather
what is the temperature in costa mesa,weather
what is the weather report for costa mesa,weather
weather in costa mesa,weather
costa mesa weather,weather
i need meteorological data for tallahassee,weather
how's the weather in tallahassee,weather
read me the current weather report for tallahassee,weather
tell me the weather report for tallahassee,weather
what's the current weather situation for tallahassee,weather
what's the weekend forecast,weather
can you tell me the low tonight,weather
is it going to be sunny today,weather
what's the highest chance of rain for today,weather
how cold is it going to be tonight,weather
what is the weather forecast for seattle,weather
what is the weather outlook for seattle,weather
what are the weather conditions in seattle,weather
how is the weather in seattle,weather
what is the weather report for seattle,weather
can you give me info on miami weather,weather
what is miami weather like,weather
what can you tell me about miami weather,weather
what kind of weather does miami have,weather
how is the weather in miami,weather
what's the weather like right now,weather
give me a rundown of the weather,weather
what kind of weather is there,weather
tell me what the weather is like,weather
when is it going to rain again,weather
what is the high temperature for tomorrow,weather
how many of inches of snow did my hometown get last year,weather
what are the atmospheric conditions in sparks,weather
is it raining in sparks,weather
is it cloudy or sunny in sparks,weather
is sparks experiencing bad weather right now,weather
what is the weather like in sparks right now,weather
what is the temp right now,weather
when will it rain next,weather
when is the next rain chance,weather
what will the weather be this weekend,weather
what s the uv index tomorrow,weather
tell me today's weather forecast,weather
tell me about the weather today,weather
i want to know the weather forecast for today,weather
what will the weather be like,weather
what's the chance of rain on friday,weather
is there a uv or smog alert for tomorrow,weather
"is it snowing right now in richmond, va",weather
what will the low temperatures be over the weekend,weather
can you let me know if it will be warm this week,weather
when is the next time it is suppose to rain,weather
how cold will it be tomorrow,weather
what is today's high temperature predicted to be,weather
how much snow will we be getting tomorrow,weather
what's the current weather,weather
what's it doing outside right now,weather
what's today's weather going to be,weather
please tell me the weather forecast,weather
change to whisper mode,whisper_mode
change mode to whisper,whisper_mode
whisper mode off,whisper_mode
change out of whisper mode,whisper_mode
turn off whisper mode,whisper_mode
activate whisper mode,whisper_mode
whisper mode activate,whisper_mode
can you please lower the volume please,whisper_mode
use your indoor voice please,whisper_mode
whisper for me,whisper_mode
is it possible for you to whisper for me,whisper_mode
turn on your whisper mode,whisper_mode
i'm going to need you to be quiet now please,whisper_mode
don't make too much noise,whisper_mode
go into whisper mode now please,whisper_mode
can you use the whisper voice,whisper_mode
volume to whisper voice,whisper_mode
turn on the whisper voice,whisper_mode
go to the whisper voice,whisper_mode
can you whisper until i tell you not to,whisper_mode
switch to your whispering voice please,whisper_mode
whisper from here on out please,whisper_mode
whisper from now on,whisper_mode
i need you to use your whisper voice,whisper_mode
do not talk so loudly,whisper_mode
use your quiet voice,whisper_mode
you need to speak softer,whisper_mode
speak quiet as though you were in a church,whisper_mode
change to normal vocals mode,whisper_mode
turn your volume up,whisper_mode
turn up your volume,whisper_mode
switch to quiet mode,whisper_mode
let's start whispering,whisper_mode
let's switch to whisper voice,whisper_mode
let's use whisper voice,whisper_mode
i decide to switch out of whisper mode,whisper_mode
i want to switch out of whisper mode,whisper_mode
can you whisper,whisper_mode
let's switch out of whisper mode,whisper_mode
let's whisper,whisper_mode
go to whisper mode,whisper_mode
can you switch out of whisper mode,whisper_mode
i think we should whisper,whisper_mode
shh please speak with a whisper,whisper_mode
please turn on whisper mode,whisper_mode
go into whisper mode now,whisper_mode
i need you to go into whisper mode,whisper_mode
please only use a whisper when speaking,whisper_mode
i can't be loud and need you to speak more quietly,whisper_mode
"go back to whisper mode, please",whisper_mode
"change to whisper mode, please",whisper_mode
"switch to whisper mode, please",whisper_mode
go back to whisper mode,whisper_mode
please switch to whisper,whisper_mode
switch to the whisper mode,whisper_mode
switch over to whisper,whisper_mode
switch to whisper please,whisper_mode
i want whisper mode to be switched off,whisper_mode
i want you to use whisper voice now,whisper_mode
please turn on whisper voice,whisper_mode
i dont need whisper mode on any more,whisper_mode
could you please get out of whisper mode,whisper_mode
i need your setting switched to whisper mode right away,whisper_mode
please shut off whisper mode for now,whisper_mode
make sure to set yourself to whisper mode before i go to the movie,whisper_mode
please turn on whisper mode because i am about to be in class,whisper_mode
i want your setting adjusted to whisper voice now,whisper_mode
please switch to whisper mode for now,whisper_mode
please begin using the whisper voice setting,whisper_mode
i want you to be in whisper mode now because i am in the library,whisper_mode
can you change to the whisper voice setting,whisper_mode
please speak with the whisper voice,whisper_mode
exit out of whisper mode,whisper_mode
is it possible for you to use the whisper voice,whisper_mode
switch to whisper mode,whisper_mode
i'd like you to use the whisper voice,whisper_mode
immediately begin using whisper mode,whisper_mode
"i can't hear you, stop whispering!",whisper_mode
start using whisper mode,whisper_mode
stop using the whisper mode,whisper_mode
engage whisper mode now,whisper_mode
can you go to the whisper voice,whisper_mode
go back to normal mode please,whisper_mode
use the whisper voice,whisper_mode
use your whispering voice,whisper_mode
6 inch voices please,whisper_mode
can you switch to whisper mode,whisper_mode
i want whisper mode,whisper_mode
please switch to whisper mode,whisper_mode
would you mind switching to whisper mode,whisper_mode
could you please switch to whisper mode,whisper_mode
"if you don't mind, please switch to whisper mode",whisper_mode
i need you to switch to whisper mode,whisper_mode
i want you to switch to whisper mode,whisper_mode
talk in whisper voice,whisper_mode
please whisper,whisper_mode
please use whisper,whisper_mode
please talk quietly,whisper_mode
use whisper voice,whisper_mode
turn to whisper mode,whisper_mode
what is the spelling of potato,spelling
spell potato,spelling
give me the spelling of potato,spelling
spell out potato,spelling
how do you spell tomato,spelling
can you spell water,spelling
how do you spell water,spelling
how is water spelled,spelling
water is spelled how,spelling
spell water,spelling
what's the letters in 'you' word like,spelling
the word 'you' got how many letters,spelling
how do you spell out university,spelling
how do you spell out newspaper,spelling
how do you spell out shepherd,spelling
how do you spell out espresso,spelling
how do you spell out wednesday,spelling
"can you spell ""diatribe"" for me",spelling
"spell ""requisite"" for me",spelling
what's the right way to spell miscellaneous,spelling
how do you spell syzygy,spelling
tell me how to spell anonymous,spelling
how is the word economy spelled,spelling
can you spell out the word special for me,spelling
i need to know how many r's are in restaurant,spelling
i need to know how to spell excellent,spelling
spell the word restaurant for me,spelling
tell me how many p's are in apple,spelling
how many e's are in sesame,spelling
tell me how many a's are in magical,spelling
what is the proper way to spell diamond,spelling
do you know how many o's are in honor,spelling
what's the right spelling of rambunctious,spelling
how do i spell catheter,spelling
can you tell me how to spell manipulation,spelling
what is the correct spelling of judgment,spelling
what's the spelling of cancer,spelling
how do you spell antithesis,spelling
how do i spell ambitious,spelling
how do you spell verisimilitude,spelling
how do you spell asian,spelling
what's the spelling of multimedia,spelling
can you tell me how to spell elephant,spelling
how do you spell hotdog,spelling
can you spell hamburger,spelling
spell government,spelling
tell me how to spell automobile,spelling
i need to know how to spell friend,spelling
how is friend spelled,spelling
how is the word acquaintance spelled,spelling
how do you spell friend,spelling
how do i spell acquaintance,spelling
what's the right way to spell indict,spelling
i want to know how to correctly spell cemetery,spelling
how do you spell mississippi,spelling
i wish i knew how to spell mississippi,spelling
can you remind me how to spell because,spelling
i need to know how to spell conscience,spelling
i need to know how to spell xylophone,spelling
how do you spell guerrilla,spelling
i am not sure how to spell punctuation,spelling
i forget how to spell xylophone,spelling
i don't know how to spell spaghetti,spelling
i don't know how to spell threshold,spelling
i don't know how to spell circumference,spelling
i don't know how to spell squirrel,spelling
i don't know how to spell mississippi,spelling
how can i spell avocado,spelling
tell me the complete spelling of definitely,spelling
i'd like to know how to spell cemetary,spelling
tell me how handkerchief is spelled,spelling
i'd like to know how acommodate is spelled,spelling
count the number of the letter a in happiness,spelling
the word is happiness; how many a's can you find in that word,spelling
"find all the ""a""s in happiness",spelling
tell how many a's are in the word happiness,spelling
how many a's can you find in the word happiness,spelling
what is the correct spelling for antipathy,spelling
how does the dictionary spell antipathy,spelling
how do you spell antipathy,spelling
spell antipathy for me,spelling
can you give me a spelling for antipathy,spelling
how do you spell superficial,spelling
i need help spelling superficial,spelling
i need to know how to spell superficial,spelling
i can't figure out how to spell superficial,spelling
what is the right way to spell superficial,spelling
how many es are in receiving,spelling
i don't know how to spell anethesia,spelling
i don't know how to spell malfeasance,spelling
i don't know how to spell theater,spelling
i don't know how to spell apparently,spelling
what's the proper way of spelling seance,spelling
how many ts are in tethered,spelling
how many cs are in acquiescence,spelling
how many ss are in narcissism,spelling
how do you spell sanguine,spelling
can you help me spell facetiousness,spelling
i don't know how to spell drought,spelling
how man z's are in zombie,spelling
how's everything,greeting
how are things going,greeting
"hello, anyone there",greeting
are you okay right now,greeting
are you doing okay,greeting
how's it going right now,greeting
ahoy hoy,greeting
hey there!,greeting
how is everything with you,greeting
hey hey!,greeting
how have you been doing,greeting
it's nice to see you,greeting
hello there!,greeting
how is it going,greeting
how are things with you,greeting
hiya!,greeting
what's up,greeting
how're you doing,greeting
it's good to see you,greeting
is everything going okay,greeting
how is everything going,greeting
how goes it,greeting
"hello, ai",greeting
"hey, ai",greeting
"wake up, ai",greeting
good day,greeting
greetings to you,greeting
"hello, friend",greeting
whats up with you,greeting
hey there fellow,greeting
whats up,greeting
"yo, hows it going",greeting
how are things for you,greeting
are things going well for you,greeting
hello siri,greeting
hi there alexa,greeting
"how are you doing, ai",greeting
ai how are you doing today,greeting
"how are you doing today, ai",greeting
how is my ai doing,greeting
ai how are you doing on this fine day,greeting
heller,greeting
so how is everything,greeting
how are you this day,greeting
hi how are you,greeting
how is everything going for you,greeting
hi how is everything,greeting
well hello,greeting
just wanted to say hi,greeting
how is your day,greeting
why hello,greeting
are you well,greeting
hola,greeting
good to see you,greeting
how've you been feeling,greeting
how are things,greeting
are you doing well,greeting
good evening,greeting
yo,greeting
"ai, how are you feeling",greeting
how is the ai doing,greeting
"ai, how are you doing",greeting
hi ai,greeting
have you been good,greeting
is everything ok with you,greeting
how have you been,greeting
are you doing ok,greeting
how are you,greeting
how's life,greeting
what's up with you,greeting
what's going on,greeting
how's it going with you,greeting
how's ife treating you,greeting
hello how's it going,greeting
how are you today,greeting
can you tell me how you're doing today,greeting
how are you this fine day,greeting
how are things treating you,greeting
aloha,greeting
are you feeling okay,greeting
how do you feel,greeting
bonjour,greeting
how are things going for you,greeting
what do you feel like doing,greeting
"hello, what's up",greeting
hey how's life,greeting
hi there,greeting
hey how's it hanging,greeting
tell me how you've been,greeting
how is life treating you,greeting
"hi there, how are things",greeting
"hello, how are you",greeting
"hey, how's it going",greeting
"hello, are you doing alright",greeting
hi! are you doing okay,greeting
what's happening,greeting
hey what's up,greeting
"why, hello bandit",greeting
"howdy, what's new",greeting
salutations!,greeting
make the settings go back to the original,reset_settings
go back the the settings you had originally,reset_settings
change settings to how they were originally,reset_settings
go back to your original settings,reset_settings
reset the factory settings,reset_settings
reset the factory settings please,reset_settings
reset the factory settings now please,reset_settings
please reset the factory settings,reset_settings
reset the factory settings if possible,reset_settings
go ahead and reset your factory settings,reset_settings
change to factory settings now,reset_settings
please go back to to factory settings now,reset_settings
go back to factory settings now,reset_settings
you need to go back to the original settings,reset_settings
go ahead and go back to the original settings,reset_settings
i want you to reset your factory settings,reset_settings
please go back to the original settings,reset_settings
please reset your factory settings,reset_settings
go back to the original settings now,reset_settings
please go back to the settings of the original,reset_settings
i need you to reset your factory settings,reset_settings
you got to go back to factory settings now,reset_settings
please go to factory settings now,reset_settings
restore my factory settings immediately please,reset_settings
go back to factory settings please,reset_settings
can you restore factory settings now,reset_settings
go back to the factory settings for this device,reset_settings
i want factory settings restores right now,reset_settings
do a hard reset to factory settings,reset_settings
i'd like to reset to factory settings,reset_settings
clear all settings in a reset,reset_settings
please revert all settings to factory default,reset_settings
i'd like to revert to factory settings,reset_settings
reset to factory default,reset_settings
do a hard reset,reset_settings
please revert to your factory settings,reset_settings
return to your factory settings,reset_settings
you need to reset your factory settings,reset_settings
would you reset your factory settings,reset_settings
you should reset your factory settings,reset_settings
could you reset your factory settings please,reset_settings
reset to original settings,reset_settings
return to default settings,reset_settings
return to factory default,reset_settings
change back to your initial settings please,reset_settings
go back to your normal settings please,reset_settings
alter back to your orginal settings,reset_settings
reset to your natural settings,reset_settings
change back to your factory settins,reset_settings
i want to go back to the factory settings,reset_settings
help me get my device back to it's factory settings,reset_settings
tell me how i can reset to factory settings,reset_settings
i want my original settings back,reset_settings
return it back to the original settings,reset_settings
please turn my settings back to the original settings,reset_settings
get my back to factory settings,reset_settings
refresh to factory defaults,reset_settings
reset to default settings please,reset_settings
reset device to original settings,reset_settings
reset to default settings,reset_settings
please change back to initial device settings,reset_settings
go back to initial factory state,reset_settings
go back to initial settings,reset_settings
make all settings the initial defaults if you would,reset_settings
revert to factory settings please,reset_settings
i want you to reset to brand new please,reset_settings
revert to your factory settings,reset_settings
restore your original settings,reset_settings
"restore your factory settings, please",reset_settings
restore your original settings now,reset_settings
"restore your original settings, please",reset_settings
revert back to your factory settings,reset_settings
"return to your original settings, please",reset_settings
"revert to your factory settings, please",reset_settings
switch back to your factory settings,reset_settings
"revert back to your factory settings, please",reset_settings
is it possible to change to original settings,reset_settings
can you go back to my original settings,reset_settings
i need you to switch to my original settings,reset_settings
go to default setting,reset_settings
change back to default settings,reset_settings
i want to be switched back to my factory settings,reset_settings
i'd like to switch back to my factory settings,reset_settings
put me back on my factory settings,reset_settings
i need to switch back to my factory settings,reset_settings
i need to go back on my factory settings,reset_settings
return to your original settings,reset_settings
restore the factory settings,reset_settings
let's go to default settings,reset_settings
go to factory settings,reset_settings
would you please reboot yourself to factory settings,reset_settings
please go back to your factory settings,reset_settings
please reconfigure yourself back to factory settings,reset_settings
i would like you to revert to your factory settings,reset_settings
i want to put you back to original settings,reset_settings
i want you reset to factory settings,reset_settings
i want factory settings put back in place,reset_settings
i want to reset your settings to the original,reset_settings
go back to the original settings,reset_settings
go back to your factory settings,reset_settings
what's your full name,what_is_your_name
i didn't get your name,what_is_your_name
what's should i call you by,what_is_your_name
can you tell me the ai's name,what_is_your_name
what is the ai's name,what_is_your_name
does the ai have a name,what_is_your_name
i'd like to know what to call you,what_is_your_name
what name do you prefer,what_is_your_name
do you have a preference regarding what i should call you,what_is_your_name
do you have a name i can use,what_is_your_name
what are you called,what_is_your_name
give me your name,what_is_your_name
what do people call you,what_is_your_name
what is your full name,what_is_your_name
tell me your full name,what_is_your_name
should i call you something in particular,what_is_your_name
what should i refer to you as,what_is_your_name
what name would you like me to call you,what_is_your_name
what name do you want me to call you,what_is_your_name
do you have a name that i can call you,what_is_your_name
what name should i use when talking with you,what_is_your_name
is there a particular name i should call you,what_is_your_name
is there a name that you preferred to be called by,what_is_your_name
please tell me the name i should use when talking to you,what_is_your_name
can i have your name please,what_is_your_name
can you me what they call you,what_is_your_name
and what would your name be,what_is_your_name
what name should i use for you,what_is_your_name
what would your name be,what_is_your_name
what do you want me to call you,what_is_your_name
what would you like to be called,what_is_your_name
what do you want me to refer to you as,what_is_your_name
what name would you like me to use,what_is_your_name
what name should i call you,what_is_your_name
do you have a name,what_is_your_name
please tell me your name,what_is_your_name
how should i refer to you,what_is_your_name
whats your name,what_is_your_name
how would you like me to refer to you,what_is_your_name
what name should i use to call for you,what_is_your_name
what is the name i should use to refer to you,what_is_your_name
do you know your name,what_is_your_name
who gave you your name,what_is_your_name
what name was given to you,what_is_your_name
what can i address you,what_is_your_name
what name do you like to go by,what_is_your_name
i want to know the name that was given by the person who made you,what_is_your_name
do people call you by a certain name what is it,what_is_your_name
what do you prefer being called,what_is_your_name
what do you prefer to be called,what_is_your_name
what did your friends call you,what_is_your_name
do you go by any nicknames,what_is_your_name
what is you name,what_is_your_name
what's your first name,what_is_your_name
what do you like being called,what_is_your_name
how would you like me to call you,what_is_your_name
who are you known as,what_is_your_name
how can i get your attention,what_is_your_name
what do you answer to,what_is_your_name
do you have a way you like to be referred to,what_is_your_name
can you tell me your name,what_is_your_name
how do i activate you,what_is_your_name
what name do you answer to,what_is_your_name
what can i refer to you by,what_is_your_name
what do they call you,what_is_your_name
how are you named,what_is_your_name
what's your designation,what_is_your_name
can i call you by any name,what_is_your_name
i want your name,what_is_your_name
i need to know your name,what_is_your_name
i need your name,what_is_your_name
i wanna know your name,what_is_your_name
i'd like your name,what_is_your_name
tell me your name,what_is_your_name
you must tell me your name,what_is_your_name
what name do you want to be called,what_is_your_name
"when referring to you, what name do you want me to use",what_is_your_name
would you tell me your name,what_is_your_name
provide the name i should use to refer to you,what_is_your_name
i would like to know your name,what_is_your_name
"hello, may i get your name",what_is_your_name
i am needing to know your name,what_is_your_name
tell me what name to use to refer to you,what_is_your_name
state your name,what_is_your_name
"when referring to you, what name should i use",what_is_your_name
i want to know your name,what_is_your_name
"ai, do you like your name",what_is_your_name
"ai, what can i call you",what_is_your_name
"ai, what's your name",what_is_your_name
"ai, what do people call you",what_is_your_name
"ai, what should i call you",what_is_your_name
please introduce yourself,what_is_your_name
could you tell me your name,what_is_your_name
would you like to introduce yourself,what_is_your_name
tell me about yourself,what_is_your_name
what name should i use to address you,what_is_your_name
what name should i refer to you as,what_is_your_name
how would you like to be referred to,what_is_your_name
what name should i use when i call you,what_is_your_name
do you have a name i should call you by,what_is_your_name
can i get some music by three six mafia in here,play_music
what does x¡¯s music sound like,play_music
may i hear some music by fleet foxes,play_music
can i hear some music by cloud control,play_music
can x¡¯s music be played,play_music
play some music for me,play_music
i'd like to hear my workout playlist,play_music
put on my jam session playlist please,play_music
can i hear my smooth jazz playlist,play_music
play a song for me,play_music
let's hear my workout playlist,play_music
put my workout playlist on,play_music
"put my music on, please",play_music
play rock playlist,play_music
play some music,play_music
rock playlist please,play_music
can you play music,play_music
i want to listen to music,play_music
can you play the rock playlist,play_music
music please,play_music
rock music playlist,play_music
i want to hear my rock playlist,play_music
play that song hey,play_music
yo play that song that go like she take my money,play_music
can u play the song that sound like bells going off,play_music
play me the playlist entitled jazz,play_music
turn on the rap playlist,play_music
turn my drake playlist on,play_music
i want to hear my hip hop playlist,play_music
i need to listen to my beyonce playlist,play_music
can you play right above it,play_music
can you play everlong by foo fighters,play_music
play the song god's plan,play_music
please play come as you are by nirvana,play_music
please play the new lady gaga song,play_music
can you put on music by beach house,play_music
can you find music by slow magic to put on,play_music
i want to play my maroon 5 playlist,play_music
"i want to listen to my maroon 5 playlist, play it for me",play_music
look up my maroon 5 playlists; play it,play_music
would you play my maroon 5 playlist,play_music
i need for you to play my maroon 5 playlist,play_music
can you play music the beatles,play_music
i need to play the song that goes like hey jude don't make it bad,play_music
please play even flow by pearl jam,play_music
play help! by the beatles,play_music
